open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1738886400000,0.1595100,0.1701400,0.1592300,0.1654700,43974717,1738889999999,7258706.5080300,75561,22746105,3752874.3528000,0
1738890000000,0.1654300,0.1933500,0.1635400,0.1869700,61655467,1738893599999,10981418.8124300,118556,33751285,6009965.3785700,0
1738893600000,0.1868800,0.1959300,0.1738300,0.1811600,81099739,1738897199999,14943608.8681200,145340,40089592,7385863.7176700,0
1738897200000,0.1811700,0.1846300,0.1788300,0.1825800,35060531,1738900799999,6379511.0319100,74312,17274089,3144573.1335400,0
1738900800000,0.1825800,0.1919900,0.1823400,0.1853000,32975325,1738904399999,6174492.5758600,76687,15206985,2850037.3567100,0
1738904400000,0.1852500,0.1855100,0.1751700,0.1778100,37348796,1738907999999,6701806.6648200,77173,18340011,3288212.6377600,0
1738908000000,0.1777600,0.1779200,0.1580800,0.1634200,91533998,1738911599999,15045753.3756600,128120,42106088,6907279.7860200,0
1738911600000,0.1635000,0.1769500,0.1633300,0.1687000,42910696,1738915199999,7310966.5200700,89159,21441276,3654180.7616900,0
1738915200000,0.1686400,0.1757000,0.1670600,0.1716400,32424683,1738918799999,5549830.0187900,67258,16202362,2773477.3372000,0
1738918800000,0.1716300,0.1768200,0.1693900,0.1750800,35947875,1738922399999,6222845.8940200,69764,19239723,3329373.6467600,0
1738922400000,0.1750800,0.1870400,0.1746500,0.1824000,39285873,1738925999999,7139154.0748000,95588,20196074,3669011.3494500,0
1738926000000,0.1824000,0.1829900,0.1748300,0.1795800,29356561,1738929599999,5240129.7674800,68602,14495807,2586809.9345000,0
1738929600000,0.1796000,0.1849600,0.1730000,0.1829800,36450836,1738933199999,6493797.6156800,71657,17915359,3188909.4404600,0
1738933200000,0.1830200,0.2011300,0.1792600,0.1998300,81125185,1738936799999,15388884.8005000,150422,40752652,7736532.8992000,0
1738936800000,0.1997900,0.2166900,0.1952700,0.2121700,119352616,1738940399999,24812948.1943000,221476,57601320,11976924.0705300,0
1738940400000,0.2121700,0.2125500,0.1834300,0.1859400,138550833,1738943999999,26636400.2014500,193815,67705391,12994626.5493000,0
1738944000000,0.1859300,0.1865500,0.1716800,0.1725600,58344160,1738947599999,10467375.2593400,94073,25348028,4553464.7567300,0
1738947600000,0.1726000,0.1765700,0.1702400,0.1709100,35705533,1738951199999,6186617.5517100,63241,17931326,3108790.3195500,0
1738951200000,0.1710000,0.1734000,0.1619800,0.1641000,49437534,1738954799999,8280315.9788700,80014,25761908,4316195.3548600,0
1738954800000,0.1640800,0.1666000,0.1594700,0.1604000,30975529,1738958399999,5053894.4410800,57867,14710154,2403028.5168800,0
1738958400000,0.1604100,0.1613900,0.1552300,0.1563400,44026079,1738961999999,6961587.8957500,74683,20786295,3289688.8051400,0
1738962000000,0.1563400,0.1604700,0.1517500,0.1522000,30785190,1738965599999,4798073.8869200,51975,14551856,2271432.2023100,0
1738965600000,0.1522400,0.1527700,0.1478600,0.1503500,35977462,1738969199999,5383837.9668400,52551,18120538,2711688.1671300,0
1738969200000,0.1503200,0.1517200,0.1467700,0.1480400,26784793,1738972799999,3987382.8863900,46195,13961305,2078333.1992500,0
